,final score mouse,final score rat,color,morphology,new names
Hu(rb)_2018,4.021963826634831,4.207940754855265,"[1.0, 0.6485300602947661, 0.0, 1.0]",point,Hu(rb) 2018
Hummos_2014,3.0347530013809574,2.8526428658353113,"[0.7724252430134786, 1.0, 0.0, 1.0]",point,Hummos 2014
Neymotin_2011,1.63752947221106,2.010604375491086,"[0.0, 0.7, 0.4, 1.0]",point,Neymotin 2011
Neymotin_2013,1.6910901551858202,1.9702758371161502,"[0.0, 0.9889734834587774, 1.0, 1.0]",point,Neymotin 2013
Stacey(rb)_2009,3.2157076974556813,3.2645044499823417,"[0.0, 0.38676699889935195, 1.0, 1.0]",point,Stacey(rb) 2009
Stacey(vd)_2009,1.690438716257492,1.8511437437699414,"[0.7944841823518297, 0.0, 1.0, 1.0]",point,Stacey(vd) 2009
Vladimirov_2013,2.6638327870501795,2.9916211224607885,"[1.0, 0.0, 0.6264711209564149, 1.0]",point,Vladimirov 2013
Bezaire_2016,3.3088179324918983,2.9389301378106785,"[1.0, 0.532721120956415, 0.0, 1.0]",stylized,Bezaire 2016
Cuts&Poir_2015,3.6412907199939264,3.2313778497447854,"[0.14705697058638245, 1.0, 0.0, 1.0]",stylized,Cuts&Poir 2015
Lee_2014,2.7540173041323643,3.160513410513901,"[0.0, 0.8036791805174157, 1.0, 1.0]",stylized,Lee 2014
Saudargiene_2015,2.7414574346536726,2.646480556064665,"[0.5165427279397867, 0.0, 1.0, 1.0]",stylized,Saudargiene 2015
Turi_2019,3.904944665548702,4.66255875768572,"[1.0, 0.0, 0.1400735757353404, 1.0]",stylized,Turi 2019
Chiovini_2014,1.3293474437279387,1.6169650320221125,"[0.7, 0.271, 0.149, 1.0]",detailed,Chiovini 2014
Ferr&Asco_2015,2.8851192184445225,3.1762332310513965,"[1.0, 0.4279414544120426, 0.0, 1.0]",detailed,Ferr&Asco 2015
Migliore_2018,2.601664789187141,2.867615539915582,"[0.772, 0.8, 0.0, 1.0]",detailed,Migliore 2018
Saraga_2006_6.3_cels,7.609218302312022,7.722889197377282,"[0.0, 0.6, 0.0, 1.0]",detailed,Saraga 2006 6.3C
Tzilivaki1_2019_0.1_dt,3.5299402513566713,3.4472998997426743,"[0.0, 1.0, 0.6709552500401159, 1.0]",detailed,Tzilivaki.1 2019
Tzilivaki2_2019_0.1_dt,3.4328359383716065,3.2692759339258375,"[0.0, 0.5647084533113945, 1.0, 1.0]",detailed,Tzilivaki.2 2019
Tzilivaki3_2019_0.1_dt,3.4156697556037483,3.3998551739209817,"[0.00963054632172239, 0.0, 1.0, 1.0]",detailed,Tzilivaki.3 2019
Tzilivaki4_2019_0.1_dt,3.8945723287092076,3.6790171276639496,"[0.8639695459548403, 0.0, 1.0, 1.0]",detailed,Tzilivaki.4 2019
Tzilivaki5_2019_0.1_dt,3.9197431377510052,3.584274355689105,"[1.0, 0.0, 0.22169145441204255, 1.0]",detailed,Tzilivaki.5 2019
